date,country,D,H,I,M,S
2021-04-01,Afghanistan,0,34,6,0,0
2021-04-01,Japan,0,90,36,0,0
2021-04-01,Sweden,0,7,3,0,0
2021-04-02,Afghanistan,0,26,14,0,0
2021-04-02,Japan,0,71,55,0,0
2021-04-02,Sweden,0,7,3,0,0
2021-04-03,Afghanistan,0,24,16,0,0
2021-04-03,Japan,0,48,78,0,0
2021-04-03,Sweden,0,5,5,0,0
2021-04-04,Afghanistan,0,21,19,0,0
2021-04-04,Japan,0,35,91,0,0
2021-04-04,Sweden,0,3,7,0,0
2021-04-05,Afghanistan,0,15,19,3,3
2021-04-05,Japan,0,24,66,20,16
2021-04-05,Sweden,0,2,5,2,1
2021-04-06,Afghanistan,0,12,14,6,8
2021-04-06,Japan,0,19,52,28,27
2021-04-06,Sweden,0,2,5,2,1
2021-04-07,Afghanistan,0,11,13,7,9
2021-04-07,Japan,0,17,31,39,39
2021-04-07,Sweden,0,2,3,3,2
2021-04-08,Afghanistan,0,10,11,9,10
2021-04-08,Japan,0,8,27,45,46
2021-04-08,Sweden,0,2,1,5,2
2021-04-09,Afghanistan,0,10,5,10,15
2021-04-09,Japan,0,7,17,52,50
2021-04-09,Sweden,0,1,1,5,3
2021-04-10,Afghanistan,0,10,2,11,17
2021-04-10,Japan,0,4,15,56,51
2021-04-10,Sweden,0,1,1,5,3
2021-04-11,Afghanistan,0,10,1,11,18
2021-04-11,Japan,0,3,14,57,52
2021-04-11,Sweden,0,1,1,5,3
2021-04-12,Afghanistan,0,9,1,11,19
2021-04-12,Japan,0,3,5,61,57
2021-04-12,Sweden,0,0,2,5,3
2021-04-13,Afghanistan,0,7,3,11,19
2021-04-13,Japan,0,3,4,61,58
2021-04-13,Sweden,0,0,1,5,4
2021-04-14,Afghanistan,0,6,4,11,19
2021-04-14,Japan,0,2,2,64,58
2021-04-14,Sweden,0,0,1,5,4
2021-04-15,Afghanistan,0,6,4,11,19
2021-04-15,Japan,0,2,1,65,58
2021-04-15,Sweden,0,0,1,5,4
2021-04-16,Afghanistan,0,5,4,12,19
2021-04-16,Japan,0,2,1,65,58
2021-04-16,Sweden,0,0,0,5,5
2021-04-17,Afghanistan,0,5,2,14,19
2021-04-17,Japan,0,2,1,65,58
2021-04-17,Sweden,0,0,0,5,5
2021-04-18,Afghanistan,0,5,1,15,19
2021-04-18,Japan,0,2,0,65,59
2021-04-18,Sweden,0,0,0,5,5
2021-04-19,Afghanistan,0,5,1,18,16
2021-04-19,Japan,5,1,1,76,43
2021-04-19,Sweden,0,0,0,6,4
2021-04-20,Afghanistan,2,4,1,22,11
2021-04-20,Japan,7,1,1,85,32
2021-04-20,Sweden,0,0,0,6,4
